code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
HS.F-BF.B.3,HS.A-SSE.A.1,535,521
HS.F-BF.B.3,HS.F-TF.A.3,535,568
HS.F-BF.B.3,HS.S-ID.B.6.a,535,673
HS.F-BF.B.4,HS.F-LE.A.4,536,564
HS.F-BF.B.4,HS.F-TF.B.6,536,571
HS.F-BF.B.4,HS.F-TF.B.7,536,572
HS.A-APR.B.3,HS.F-IF.C.7.c,498,551
HS.G-MG.A.1,HS.G-GMD.A.3,604,595
HS.G-MG.A.1,HS.G-MG.A.2,604,605
HS.G-MG.A.1,HS.N-Q.A.1,604,629
HS.G-MG.A.1,HS.N-Q.A.2,604,630
HS.G-MG.A.1,HS.N-Q.A.3,604,631
HS.G-MG.A.2,HS.G-MG.A.1,605,604
HS.G-MG.A.2,HS.N-Q.A.1,605,629
HS.G-MG.A.2,HS.N-Q.A.2,605,630
HS.G-MG.A.2,HS.N-Q.A.3,605,631
HS.N-Q.A.1,HS.A-CED.A.2,629,504
HS.N-Q.A.1,HS.G-MG.A.1,629,604
HS.N-Q.A.1,HS.G-MG.A.2,629,605
HS.N-Q.A.2,HS.G-MG.A.1,630,604
HS.N-Q.A.2,HS.G-MG.A.2,630,605
HS.N-Q.A.3,HS.G-MG.A.1,631,604
HS.N-Q.A.3,HS.G-MG.A.2,631,605
HS.A-REI.B.4.a,HS.A-SSE.B.3.b,511,527
HS.A-REI.B.4.b,HS.N-CN.C.7,512,626
HS.A-REI.C.7,HS.A-CED.A.3,515,505
HS.A-REI.C.7,HS.G-GPE.B.4,515,600
HS.A-SSE.A.1,HS.F-BF.B.3,521,535
HS.A-SSE.B.3.a,HS.F-IF.C.8.a,526,555
HS.A-SSE.B.3.b,HS.A-REI.B.4.a,527,511
HS.A-SSE.B.3.b,HS.F-IF.C.8.a,527,555
HS.A-SSE.B.3.c,HS.F-IF.C.8.b,528,556
HS.A-SSE.B.4,HS.F-LE.A.2,529,562
HS.N-CN.C.7,HS.A-REI.B.4.b,626,512
HS.F-TF.A.2,HS.F-TF.A.3,567,568
HS.F-TF.A.3,HS.F-BF.B.3,568,535
HS.F-TF.A.3,HS.F-TF.A.2,568,567
HS.F-TF.B.5,HS.F-IF.B.4,570,545
HS.F-TF.B.6,HS.F-BF.B.4,571,536
HS.F-TF.B.7,HS.F-BF.B.4,572,536
